DATE,CLVMNACSCAB1GQFR
1995-01-01,376791.450000000000
1995-07-01,378538.700000000000
1996-01-01,381462.150000000000
1996-07-01,384040.700000000000
1997-01-01,388448.450000000000
1997-07-01,396307.650000000000
1998-01-01,403513.000000000000
1998-07-01,408442.350000000000
1999-01-01,413995.400000000000
1999-07-01,424435.750000000000
2000-01-01,433925.250000000000
2000-07-01,440874.400000000000
2001-01-01,444774.750000000000
2001-07-01,446228.950000000000
2002-01-01,448973.200000000000
2002-07-01,452057.950000000000
2003-01-01,452705.200000000000
2003-07-01,457309.550000000000
2004-01-01,464048.250000000000
2004-07-01,468916.400000000000
2005-01-01,472825.900000000000
2005-07-01,478700.600000000000
2006-01-01,487323.350000000000
2006-07-01,492086.150000000000
2007-01-01,500296.450000000000
2007-07-01,503472.600000000000
2008-01-01,506194.450000000000
2008-07-01,500232.400000000000
2009-01-01,487851.200000000000
2009-07-01,491079.850000000000
2010-01-01,495466.800000000000
2010-07-01,501533.900000000000
2011-01-01,509608.650000000000
2011-07-01,512163.900000000000
2012-01-01,511991.750000000000
2012-07-01,512050.150000000000
2013-01-01,514699.700000000000
2013-07-01,518720.400000000000
2014-01-01,520469.950000000000
2014-07-01,523489.000000000000
2015-01-01,526062.500000000000
2015-07-01,528188.500000000000
2016-01-01,530252.550000000000
2016-07-01,531615.550000000000
2017-01-01,539048.200000000000
2017-07-01,547165.550000000000
2018-01-01,548981.400000000000
2018-07-01,554457.500000000000
2019-01-01,562983.150000000000
2019-07-01,563354.600000000000
2020-01-01,500424.950000000000
2020-07-01,540389.850000000000
2021-01-01,545621.750000000000
2021-07-01,566263.250000000000
2022-01-01,568394.350000000000
2022-07-01,572623.200000000000
2023-01-01,575136.450000000000
2023-07-01,578661.800000000000
2024-01-01,581698.800000000000
